Laps,Frequency
1.0,1
12.0,1
14.0,8
15.0,8
18.0,3
20.0,1
22.0,3
24.0,1
28.0,5
29.0,2
30.0,1
31.0,2
32.0,5
35.0,1
36.0,8
38.0,3
40.0,9
42.0,3
43.0,6
44.0,35
45.0,19
47.0,1
48.0,1
49.0,1
50.0,16
51.0,17
52.0,29
53.0,83
54.0,21
55.0,22
56.0,46
57.0,35
58.0,36
59.0,20
60.0,40
61.0,22
62.0,16
63.0,15
64.0,7
65.0,28
66.0,24
67.0,26
68.0,11
69.0,22
70.0,70
71.0,65
72.0,36
73.0,11
75.0,34
76.0,18
77.0,22
78.0,43
79.0,5
80.0,54
81.0,4
82.0,7
83.0,2
84.0,2
85.0,5
86.0,2
87.0,3
90.0,19
95.0,1
96.0,2
97.0,1
98.0,1
100.0,17
101.0,1
105.0,2
108.0,5
110.0,3
138.0,1
200.0,10
